Total unique genes matched: 23
Unique genes (alphabetical order):
ace2 (2541661)
cdc7 (2540660)
cnd1 (2541201)
cog6 (2541207)
gga22 (2540570)
hsk1 (2541165)
kgd2 (2541170)
lcl3 (2540556)
mcs6 (2540471)
med8 (2540761)
meu22 (2540779)
nup189 (2541547)
plh1 (2541187)
pmh1 (2540684)
ppk24 (2540596)
rpl2801 (2541130)
rps401 (2540649)
rrp7 (2541174)
spn7 (2540413)
thi1 (2541581)
trs120 (2542375)
tsr401 (2540619)
yap18 (2540702)

Unique genes matched on chromosome NC_032089.1: 12
Unique genes matched on chromosome NC_032090.1: 11
Unique genes matched on chromosome NC_032091.1: 6
Unique genes matched on chromosome NC_032092.1: 6
Unique genes matched on chromosome NC_032093.1: 6
Unique genes matched on chromosome NC_032094.1: 5
Unique genes matched on chromosome NC_032095.1: 6
Unique genes matched on chromosome NC_032096.1: 10

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032089.1                                       3639535                                           PUT3                                              1494130                                           1497066                                           XM_713700.1                                       65                                                2.00e-11                                          73/306                                            2937                                              775                                               Query= 2541581|NP_594098.2|chromosome II|thi1|1|3211872|3214508|N/A|775|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[280, 551, '73/306 (24%)', '127/306 (42%)', 65.9, '2e-11']]
NC_032093.1                                       3642643                                           SNF1                                              294646                                            296502                                            XM_710606.1                                       105                                               9.00e-24                                          73/251                                            1857                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[14, 258, '73/251 (29%)', '130/251 (52%)', 105.0, '9e-24']]
NC_032096.1                                       3640953                                           HST7                                              884029                                            885798                                            XM_712240.2                                       103                                               4.00e-23                                          68/196                                            1770                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 202, '68/196 (35%)', '108/196 (55%)', 103.0, '4e-23']]
NC_032094.1                                       3645862                                           Unknown                                           454198                                            455418                                            XM_707406.2                                       97                                                1.00e-21                                          76/250                                            1221                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[56, 258, '76/250 (30%)', '115/250 (46%)', 97.1, '1e-21']]
NC_032096.1                                       3644838                                           CDC28                                             1293451                                           1294404                                           XM_708393.1                                       93                                                5.00e-21                                          83/294                                            954                                               1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[4, 258, '83/294 (28%)', '142/294 (48%)', 93.2, '5e-21']]
NC_032093.1                                       3636494                                           DUN1                                              1122899                                           1124587                                           XM_019475438.1                                    95                                                6.00e-21                                          84/289                                            1593                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[11, 258, '84/289 (29%)', '132/289 (46%)', 95.9, '6e-21']]
NC_032090.1                                       3637393                                           HOG1                                              691444                                            692577                                            XM_715923.1                                       94                                                7.00e-21                                          58/189                                            1134                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 202, '58/189 (31%)', '101/189 (53%)', 94.4, '7e-21']]
NC_032089.1                                       3642058                                           PKH2                                              2700183                                           2703026                                           XM_711200.2                                       95                                                3.00e-20                                          44/142                                            2844                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[74, 204, '44/142 (31%)', '74/142 (52%)', 95.1, '3e-20']]
NC_032090.1                                       3648277                                           RIM11                                             899422                                            900651                                            XM_705034.2                                       92                                                3.00e-20                                          68/206                                            1230                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[10, 202, '68/206 (33%)', '104/206 (50%)', 92.4, '3e-20']]
NC_032090.1                                       3637326                                           Unknown                                           897773                                            900651                                            XM_019475225.1                                    94                                                5.00e-20                                          68/206                                            2094                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[10, 202, '68/206 (33%)', '104/206 (50%)', 94.0, '5e-20']]
NC_032091.1                                       3635263                                           CMK1                                              960570                                            961817                                            XM_718031.1                                       90                                                1.00e-19                                          75/271                                            1248                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[75, 325, '75/271 (28%)', '124/271 (46%)', 90.9, '1e-19']]
NC_032091.1                                       3636636                                           Unknown                                           489073                                            490833                                            XM_716605.2                                       92                                                1.00e-19                                          66/210                                            1761                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 216, '66/210 (31%)', '106/210 (50%)', 92.0, '1e-19']]
NC_032092.1                                       3642789                                           CEK1                                              1437628                                           1438893                                           XM_710449.2                                       89                                                3.00e-19                                          59/201                                            1266                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[13, 202, '59/201 (29%)', '109/201 (54%)', 89.7, '3e-19']]
NC_032091.1                                       3635210                                           PKC1                                              931012                                            934305                                            XM_718022.1                                       91                                                4.00e-19                                          54/202                                            3294                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[65, 258, '54/202 (27%)', '98/202 (49%)', 91.7, '4e-19']]
NC_032092.1                                       3641175                                           ATG1                                              951265                                            953769                                            XM_712152.2                                       90                                                5.00e-19                                          64/237                                            2505                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[11, 204, '64/237 (27%)', '107/237 (45%)', 90.9, '5e-19']]
NC_032091.1                                       3648186                                           Unknown                                           148259                                            150694                                            XM_712660.2                                       89                                                1.00e-18                                          76/268                                            2436                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[53, 262, '76/268 (28%)', '121/268 (45%)', 89.7, '1e-18']]
NC_032090.1                                       3645461                                           Unknown                                           911437                                            914340                                            XM_707850.1                                       87                                                5.00e-18                                          72/254                                            2904                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 260, '72/254 (28%)', '114/254 (45%)', 87.8, '5e-18']]
NC_032090.1                                       3637353                                           SSN3                                              893030                                            894856                                            XM_715825.2                                       85                                                2.00e-17                                          52/159                                            1827                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[56, 202, '52/159 (33%)', '85/159 (53%)', 85.5, '2e-17']]
NC_032096.1                                       3641888                                           MPS1                                              1916751                                           1918823                                           XM_711335.1                                       85                                                2.00e-17                                          88/313                                            2073                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[13, 289, '88/313 (28%)', '140/313 (45%)', 85.5, '2e-17']]
NC_032092.1                                       3641127                                           Unknown                                           954686                                            958912                                            XM_712151.2                                       85                                                3.00e-17                                          78/300                                            4227                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[53, 262, '78/300 (26%)', '127/300 (42%)', 85.5, '3e-17']]
NC_032089.1                                       3639510                                           Unknown                                           1435371                                           1436402                                           XM_713735.2                                       82                                                5.00e-17                                          67/228                                            1032                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 230, '67/228 (29%)', '113/228 (50%)', 82.0, '5e-17']]
NC_032089.1                                       3644467                                           KSP1                                              1595184                                           1598036                                           XM_708783.2                                       84                                                6.00e-17                                          54/147                                            2853                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[64, 204, '54/147 (37%)', '82/147 (56%)', 84.3, '6e-17']]
NC_032090.1                                       3637421                                           SCH9                                              825401                                            827764                                            XM_715860.2                                       84                                                6.00e-17                                          53/201                                            2364                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[66, 258, '53/201 (26%)', '102/201 (51%)', 84.0, '6e-17']]
NC_032090.1                                       3643414                                           CRK1                                              1027317                                           1029554                                           XM_709790.2                                       84                                                7.00e-17                                          69/232                                            2238                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 202, '69/232 (30%)', '104/232 (45%)', 84.0, '7e-17']]
NC_032089.1                                       3643338                                           CSK1                                              3087546                                           3088738                                           XM_019475185.1                                    78                                                9.00e-16                                          47/127                                            1125                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[111, 226, '47/127 (37%)', '72/127 (57%)', 78.6, '9e-16']]
NC_032095.1                                       3637961                                           RIM15                                             137282                                            143053                                            XM_715244.1                                       80                                                1.00e-15                                          48/141                                            5772                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 153, '48/141 (34%)', '81/141 (57%)', 80.5, '1e-15']]
NC_032090.1                                       3647801                                           YAK1                                              976775                                            979204                                            XM_705506.2                                       79                                                2.00e-15                                          69/230                                            2430                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[13, 235, '69/230 (30%)', '106/230 (46%)', 79.0, '2e-15']]
NC_032089.1                                       3634866                                           SWE1                                              2189027                                           2192563                                           XM_718459.2                                       79                                                3.00e-15                                          61/202                                            3537                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 197, '61/202 (30%)', '102/202 (50%)', 79.0, '3e-15']]
NC_032096.1                                       3639710                                           MKC1                                              30873                                             32402                                             XM_713587.1                                       77                                                3.00e-15                                          40/110                                            1530                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[111, 213, '40/110 (36%)', '60/110 (55%)', 77.8, '3e-15']]
NC_032089.1                                       3642053                                           Unknown                                           2648544                                           2650742                                           XM_711229.1                                       78                                                4.00e-15                                          66/205                                            2199                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[14, 202, '66/205 (32%)', '96/205 (47%)', 78.2, '4e-15']]
NC_032096.1                                       3639697                                           KIN2                                              63737                                             67375                                             XM_713574.1                                       77                                                6.00e-15                                          58/210                                            3639                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[56, 259, '58/210 (28%)', '92/210 (44%)', 77.8, '6e-15']]
NC_032096.1                                       3642459                                           CEK2                                              1244534                                           1245652                                           XM_710801.2                                       74                                                2.00e-14                                          62/203                                            1119                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 198, '62/203 (31%)', '107/203 (53%)', 74.7, '2e-14']]
NC_032096.1                                       3644836                                           Unknown                                           1290764                                           1292656                                           XM_708391.2                                       75                                                3.00e-14                                          56/224                                            1893                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[56, 258, '56/224 (25%)', '96/224 (43%)', 75.5, '3e-14']]
NC_032096.1                                       3639018                                           CKA1                                              2257148                                           2258155                                           XM_714318.2                                       71                                                1.00e-13                                          57/197                                            1008                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 205, '57/197 (29%)', '103/197 (52%)', 71.6, '1e-13']]
NC_032089.1                                       3634838                                           CBK1                                              2296797                                           2298995                                           XM_718498.2                                       72                                                2.00e-13                                          50/149                                            2199                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[14, 161, '50/149 (34%)', '77/149 (52%)', 72.4, '2e-13']]
NC_032090.1                                       3645205                                           Unknown                                           1535671                                           1537075                                           XM_019475252.1                                    69                                                9.00e-13                                          68/266                                            1338                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 259, '68/266 (26%)', '119/266 (45%)', 69.7, '9e-13']]
NC_032090.1                                       3641237                                           AKL1                                              2208732                                           2210936                                           XM_712067.1                                       70                                                1.00e-12                                          68/270                                            2205                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[9, 247, '68/270 (25%)', '122/270 (45%)', 70.1, '1e-12']]
NC_032094.1                                       3641611                                           PTK2                                              358106                                            360544                                            XM_711631.2                                       68                                                5.00e-12                                          47/161                                            2439                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[83, 221, '47/161 (29%)', '72/161 (45%)', 68.2, '5e-12']]
NC_032089.1                                       3639498                                           NPR1                                              1447122                                           1449623                                           XM_713728.2                                       68                                                5.00e-12                                          55/190                                            2502                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[12, 191, '55/190 (29%)', '87/190 (46%)', 68.2, '5e-12']]
NC_032089.1                                       3646659                                           Unknown                                           1651145                                           1653661                                           XM_706631.2                                       67                                                7.00e-12                                          48/140                                            2517                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[7, 141, '48/140 (34%)', '75/140 (54%)', 67.8, '7e-12']]
NC_032090.1                                       3643444                                           CKA2                                              1038614                                           1039603                                           XM_709796.2                                       65                                                1.00e-11                                          60/186                                            990                                               1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 194, '60/186 (32%)', '95/186 (51%)', 65.5, '1e-11']]
NC_032091.1                                       3642249                                           FUN31                                             1510924                                           1514895                                           XM_711019.1                                       67                                                2.00e-11                                          58/218                                            3972                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[53, 259, '58/218 (27%)', '104/218 (48%)', 67.0, '2e-11']]
