Total unique genes matched: 24
Unique genes (alphabetical order):
alg9 (2542331)
apl5 (2542857)
aro1 (2542115)
cdc45 (2542266)
cia2 (2542897)
cis4 (2542250)
gpn2 (2542899)
gwt1 (2542825)
hhf1 (2542463)
hht1 (2542467)
irc20 (2542902)
klp3 (2542195)
klp8 (2542849)
mak1 (2542119)
mug51 (2542159)
N/A (2542894)
pex7 (5802962)
pmo25 (2542388)
rki1 (2542821)
rps1102 (2542904)
sec18 (2542410)
sfc2 (2542887)
spe1 (2542855)
vrg4 (2542850)

Unique genes matched on chromosome NC_032089.1: 10
Unique genes matched on chromosome NC_032090.1: 10
Unique genes matched on chromosome NC_032091.1: 7
Unique genes matched on chromosome NC_032092.1: 6
Unique genes matched on chromosome NC_032093.1: 4
Unique genes matched on chromosome NC_032094.1: 1
Unique genes matched on chromosome NC_032095.1: 4
Unique genes matched on chromosome NC_032096.1: 10

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032089.1                                       3641768                                           VRG4                                              1674155                                           1675270                                           XM_711447.2                                       394                                               1.00e-137                                         195/308                                           1116                                              345                                               Query= 2542850|NP_594679.1|chromosome I|vrg4|1|4690140|4691827|N/A|345|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 310, '195/308 (63%)', '241/308 (78%)', 394.0, '1e-137']]
NC_032091.1                                       3640525                                           RPT2                                              39195                                             40520                                             XM_712719.2                                       127                                               6.00e-32                                          82/236                                            1326                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[271, 504, '82/236 (35%)', '134/236 (57%)', 127.0, '6e-32']]
NC_032089.1                                       3642462                                           Unknown                                           1104248                                           1104862                                           XM_710784.2                                       118                                               8.00e-31                                          78/196                                            615                                               792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[261, 454, '78/196 (40%)', '108/196 (55%)', 118.0, '8e-31']]
NC_032090.1                                       3642981                                           PR26                                              616878                                            618113                                            XM_710241.2                                       122                                               2.00e-30                                          88/250                                            1236                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[261, 507, '88/250 (35%)', '131/250 (52%)', 122.0, '2e-30']]
NC_032092.1                                       3642911                                           RPT5                                              1532681                                           1533973                                           XM_710339.2                                       122                                               3.00e-30                                          92/273                                            1293                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[271, 538, '92/273 (34%)', '132/273 (48%)', 122.0, '3e-30']]
NC_032092.1                                       3641816                                           YME1                                              1245541                                           1247604                                           XM_711467.2                                       122                                               2.00e-29                                          83/215                                            2064                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[293, 503, '83/215 (39%)', '112/215 (52%)', 122.0, '2e-29']]
NC_032093.1                                       3637703                                           VPS4                                              687505                                            688824                                            XM_715551.2                                       98                                                4.00e-22                                          78/250                                            1320                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[256, 499, '78/250 (31%)', '130/250 (52%)', 98.2, '4e-22']]
NC_032096.1                                       3643190                                           Unknown                                           808438                                            809547                                            XM_710045.2                                       88                                                4.00e-19                                          65/206                                            1110                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[305, 509, '65/206 (32%)', '106/206 (51%)', 88.2, '4e-19']]
NC_032096.1                                       3638990                                           YTA6                                              2100701                                           2103163                                           XM_714227.2                                       74                                                3.00e-14                                          77/262                                            2463                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[304, 547, '77/262 (29%)', '129/262 (49%)', 74.7, '3e-14']]
NC_032094.1                                       3644027                                           PEX7                                              172250                                            173392                                            XM_709205.1                                       189                                               3.00e-58                                          122/377                                           1143                                              308                                               Query= 5802962|NP_001343038.1|chromosome I|pex7|1|4722783|4724644|N/A|308|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[1, 307, '122/377 (32%)', '186/377 (49%)', 189.0, '3e-58']]
NC_032096.1                                       3648293                                           CDC45                                             1673907                                           1675646                                           XM_705020.2                                       186                                               6.00e-52                                          171/675                                           1740                                              638                                               Query= 2542266|NP_594693.1|chromosome I|cdc45|1|4724771|4726845|N/A|638|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[1, 634, '171/675 (25%)', '308/675 (46%)', 186.0, '6e-52']]
NC_032092.1                                       3642920                                           Unknown                                           1509593                                           1511473                                           XM_710348.2                                       129                                               1.00e-31                                          67/138                                            1881                                              732                                               Query= 2542250|NP_594694.1|chromosome I|cis4|-1|4726781|4729340|N/A|732|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[337, 471, '67/138 (49%)', '98/138 (71%)', 129.0, '1e-31'], [585, 732, '63/149 (42%)', '90/149 (60%)', 110.0, '8e-26']]
NC_032090.1                                       3635772                                           Unknown                                           433118                                            434554                                            XM_717488.2                                       69                                                6.00e-13                                          41/129                                            1437                                              732                                               Query= 2542250|NP_594694.1|chromosome I|cis4|-1|4726781|4729340|N/A|732|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[345, 471, '41/129 (32%)', '73/129 (57%)', 69.7, '6e-13']]
